B. ID,L0,L1,L2,L3,L4,L5,L6,L7,L8
1077,0,1,1,1,1,1,1,1,0
1079,0,0,0,0,0,1,1,0,1
1080,0,0,1,1,0,0,1,0,1
1081,0,1,1,0,1,1,1,1,0
108,0,1,1,1,1,1,1,1,0
1082,0,0,0,0,0,0,1,0,1
1083,0,1,1,0,1,1,1,1,0
1085,0,1,1,0,0,1,1,1,0
1086,0,1,1,1,0,1,1,1,1
1088,0,1,1,1,0,1,1,1,1
109,0,1,1,1,0,1,1,0,1
1091,0,1,1,0,1,1,1,0,0
1092,0,0,0,1,0,0,0,0,1
1093,1,0,0,0,0,0,0,0,1
1094,0,0,0,0,0,1,1,0,1
1096,0,1,1,1,0,1,1,0,0
1097,1,0,1,1,0,1,1,0,1
1098,0,0,0,0,0,0,0,0,1
1100,0,1,1,1,1,1,1,1,0
110,1,0,0,0,0,0,0,0,1
1101,0,1,1,1,0,1,1,0,0
1102,0,0,0,0,0,0,1,0,1
1103,0,0,0,1,0,1,1,0,1
1105,1,0,1,0,0,1,1,0,1
1106,0,0,1,1,1,1,1,1,0
1107,0,0,0,0,0,0,1,0,1
111,0,1,1,1,0,1,1,1,0
1114,0,1,1,0,1,1,1,1,0
1115,0,1,0,1,0,1,1,0,0
1118,0,1,1,1,1,1,1,1,1
1119,0,1,1,0,1,1,1,1,0
112,0,1,1,0,1,1,1,1,0
1129,0,0,0,0,0,0,1,0,1
1130,0,1,1,0,0,1,1,1,0
1131,1,0,0,0,0,0,0,0,1
1132,0,0,0,1,0,1,1,0,1
1133,1,0,0,0,0,0,0,0,1
1134,0,1,1,1,0,1,1,1,0
1136,0,0,0,0,0,0,1,0,1
1137,1,1,1,1,0,1,1,0,1
1138,0,1,1,1,1,1,1,0,0
1139,1,0,0,1,0,0,0,0,1
1140,0,1,1,0,1,1,1,1,0
1142,0,0,1,1,0,1,1,1,1
1145,0,1,1,1,0,1,1,1,1
1149,0,0,1,1,0,1,1,0,1
1150,1,0,0,0,0,0,0,0,1
115,0,0,0,1,0,1,1,0,1
1156,0,0,0,1,0,1,1,0,1
1157,0,1,1,0,1,1,1,1,0
1158,0,1,1,0,0,1,1,1,0
1160,1,1,1,0,0,1,1,0,1
1162,0,1,0,0,0,1,0,0,1
1165,0,1,1,1,1,1,1,1,0
1166,1,0,1,0,0,1,1,1,0
1167,1,1,1,1,0,1,1,0,1
1168,0,0,0,0,0,1,1,0,1
1169,0,1,1,0,1,1,1,1,0
1171,0,0,1,1,0,1,1,0,0
1172,0,0,1,1,1,1,1,1,0
1175,0,1,1,0,0,1,1,1,0
1176,1,0,0,0,0,0,0,0,1
1177,1,1,0,0,0,1,0,0,1
1179,1,1,0,1,0,0,0,0,1
1180,0,1,1,1,1,1,1,0,0
1181,0,0,0,0,0,0,1,0,1
118,1,0,0,1,0,0,0,0,1
1184,0,1,1,1,1,1,1,1,0
1185,0,1,1,1,0,1,1,0,1
1188,1,0,0,0,0,0,0,0,1
1189,0,1,1,1,0,1,1,1,1
1190,1,0,1,1,0,1,1,0,0
119,0,1,1,0,1,1,1,1,0
1193,0,1,1,0,0,1,1,0,0
1194,0,1,1,1,1,1,1,1,0
1198,0,0,1,1,0,1,1,0,1
1200,1,0,0,1,0,0,0,0,1
1201,0,1,1,0,1,1,1,1,0
120,0,1,1,0,0,1,1,0,1
1202,0,1,1,0,1,1,1,1,1
1203,0,1,1,1,1,1,1,1,1
1208,0,0,1,1,0,1,1,0,1
1209,0,1,0,0,0,0,0,0,1
1211,0,1,1,1,1,1,1,1,0
1212,0,0,0,0,0,1,0,0,1
12,0,1,1,0,1,1,1,0,0
1214,0,0,0,0,0,0,1,0,1
1215,1,0,1,0,0,1,1,0,0
1216,1,0,0,0,0,0,1,0,1
1219,1,0,0,1,0,0,0,0,1
1223,1,0,0,1,0,0,0,0,1
1224,0,1,1,0,0,0,1,0,1
1225,0,0,0,0,0,0,1,0,1
1227,0,1,1,1,1,1,1,1,0
1228,0,1,1,1,1,1,1,1,0
1229,1,0,0,0,0,0,0,0,0
1230,0,1,1,1,1,1,1,1,1
1231,0,1,1,1,0,1,1,1,0
1232,0,0,1,1,1,1,1,1,0
1233,0,0,0,0,0,0,1,0,1
1234,1,0,1,1,0,1,1,0,0
1235,1,0,0,0,0,0,0,0,1
123,0,0,0,0,0,0,0,0,1
1236,1,0,0,1,0,0,0,0,1
1238,0,1,0,0,0,1,1,0,1
1239,1,1,0,1,1,1,1,0,0
1240,0,0,0,1,0,0,1,0,1
1241,0,1,1,0,1,1,1,1,0
1243,1,0,1,1,0,1,1,0,0
1244,0,1,1,0,0,1,1,0,1
1245,0,1,1,0,1,1,1,1,0
1246,0,0,1,0,0,1,1,0,0
1248,1,1,0,0,0,0,0,0,1
1249,0,0,0,1,0,0,0,0,1
1250,1,1,1,0,1,1,1,1,1
1251,0,1,1,0,1,1,1,0,1
1252,1,0,1,1,0,0,0,0,1
1253,0,1,1,1,1,1,1,1,0
125,0,0,0,1,0,0,1,0,1
1256,0,1,0,0,0,1,1,1,0
1257,0,0,0,0,0,0,0,0,1
1258,1,1,1,0,0,1,1,0,1
1259,1,1,1,1,0,1,1,0,1
1260,0,1,1,1,0,1,1,1,1
1261,0,1,1,0,1,1,1,1,0
1262,0,0,0,1,0,1,0,0,1
1264,1,0,0,0,0,1,0,0,1
1265,1,1,1,1,0,0,1,0,1
1268,0,1,1,1,1,1,1,1,0
1269,1,0,0,1,0,0,1,0,1
1270,0,0,0,0,0,1,1,0,0
1271,0,0,0,0,0,0,0,0,1
1272,0,0,1,1,0,1,1,0,1
1273,0,1,1,0,1,1,1,1,0
1274,1,0,1,0,0,1,1,0,1
1277,1,0,0,0,0,1,0,0,1
1278,0,1,1,1,1,1,1,0,0
1279,0,1,1,1,0,1,1,0,1
1281,0,1,1,0,0,1,1,1,0
1282,1,0,1,1,1,1,1,1,1
1283,1,0,0,0,0,1,1,0,1
1284,0,1,1,0,1,1,1,1,0
1289,1,0,0,0,0,0,0,0,1
1290,1,0,0,1,0,0,0,0,1
1291,0,1,1,0,1,1,1,0,0
1292,0,1,1,0,0,1,1,0,0
129,0,0,0,0,0,1,1,0,1
1296,1,0,0,0,0,1,1,0,1
1297,0,0,0,1,0,1,0,0,1
1298,0,1,1,0,1,1,1,0,1
1299,0,1,1,1,1,1,1,1,0
1303,0,0,0,0,0,0,0,0,1
1305,0,0,0,0,0,1,1,0,1
1310,0,1,1,0,1,1,1,1,0
131,1,0,0,1,0,1,1,0,0
1312,0,1,1,1,1,1,1,1,0
1313,0,0,0,1,0,0,1,0,1
1316,1,0,0,1,0,1,0,0,0
1317,1,1,1,0,0,0,0,0,1
1318,1,0,0,1,0,1,1,0,0
13,0,0,0,1,0,0,1,0,1
1320,1,0,0,0,0,1,1,0,0
132,0,1,1,1,1,1,1,1,0
1323,1,0,1,1,0,1,0,0,0
1324,0,1,1,1,1,1,1,1,0
1327,1,0,0,1,0,0,0,0,1
1328,0,1,1,0,1,1,1,0,1
1329,1,1,1,0,1,1,1,0,1
1331,0,1,1,0,1,1,1,0,0
1332,0,1,1,0,0,1,1,0,1
1336,1,0,0,0,0,0,0,0,1
1338,0,1,1,0,0,0,1,0,1
1339,0,1,1,1,0,1,1,1,0
1342,1,1,0,0,0,0,0,0,1
1344,0,0,0,1,0,0,0,0,1
1346,0,1,1,1,1,1,1,0,0
1347,1,1,0,0,0,1,1,0,1
1348,0,1,1,1,0,1,1,0,1
1349,0,1,0,0,0,1,1,0,0
1350,1,0,1,1,0,0,1,0,1
135,0,0,0,0,0,1,1,0,1
1353,0,1,1,1,1,1,1,0,0
1355,1,0,1,0,0,1,1,0,1
1356,0,1,1,1,1,1,1,0,0
1359,0,1,0,0,0,0,1,0,1
1360,1,1,0,0,0,1,1,0,1
1361,0,1,1,0,0,1,1,0,0
1362,0,1,1,1,0,1,1,0,0
1363,0,1,1,1,0,0,1,0,0
1365,0,0,0,1,0,0,0,0,1
1370,0,1,1,1,0,1,1,1,0
1375,1,0,0,1,0,0,0,0,1
1376,0,1,1,1,0,1,1,0,1
1378,1,0,0,0,0,1,0,0,1
1379,1,0,1,1,0,1,1,0,1
1382,0,1,1,0,1,1,1,0,0
1386,1,0,0,1,0,0,0,0,1
1387,1,0,0,0,0,0,0,0,1
1388,0,0,0,0,0,0,1,0,1
1389,1,0,0,0,0,0,0,0,1
1391,0,0,0,0,0,0,1,0,1
1392,0,1,1,1,0,1,1,1,0
1393,0,0,0,0,0,1,1,0,1
1394,0,1,1,1,0,1,1,1,0
1399,0,0,1,1,0,1,1,1,0
140,1,0,1,0,0,1,1,1,1
1402,1,1,1,0,0,1,1,0,1
1407,0,1,1,0,0,1,1,0,0
1409,0,1,1,1,1,0,1,1,0
1412,0,1,1,0,0,1,1,0,1
1413,0,1,1,0,1,1,1,1,0
1414,0,0,0,1,0,0,1,0,1
14,1,0,0,1,0,0,0,0,1
1415,1,0,0,0,0,1,1,0,1
1416,0,0,0,0,0,0,0,0,1
1418,0,1,1,1,1,1,1,1,0
1419,0,1,1,0,0,1,1,0,1
1420,1,0,1,1,0,1,1,0,1
1422,0,1,0,0,0,1,1,0,1
142,0,1,1,1,1,1,1,0,0
1424,0,1,1,1,1,1,1,1,0
1426,1,0,0,0,0,0,0,0,1
1429,0,0,1,1,0,1,1,0,0
1430,1,0,0,0,0,0,0,0,1
1431,0,1,1,1,1,1,1,1,0
143,1,0,0,1,0,1,0,0,0
1435,0,1,1,1,1,1,1,1,0
1437,1,1,1,1,0,1,1,0,1
1439,0,1,1,1,0,1,1,1,0
1441,0,0,0,0,0,0,1,0,1
1442,0,0,0,1,0,0,0,1,1
1443,1,0,1,0,0,1,1,0,0
1444,0,1,1,1,1,1,1,0,0
1445,0,1,1,0,1,1,1,1,0
1446,1,1,1,1,1,1,1,0,1
1447,0,0,0,0,0,0,0,0,1
1449,0,0,0,0,0,0,1,0,1
1450,0,1,1,0,1,1,1,1,0
1451,0,1,1,1,0,1,1,1,0
1453,1,0,0,1,0,1,1,0,1
145,0,1,0,0,1,1,1,0,0
1456,0,0,0,0,0,0,1,0,1
1457,0,1,1,0,1,1,1,0,0
1458,0,0,0,0,0,0,1,0,1
1460,0,1,1,0,1,1,1,1,0
1462,1,0,0,1,0,0,0,0,1
1463,0,1,1,0,1,1,1,0,0
1464,0,0,0,1,0,1,0,0,0
1465,1,1,0,0,0,0,0,0,1
1467,0,1,1,0,1,1,1,1,0
1468,0,1,1,1,1,1,1,0,0
1469,0,1,1,0,1,1,1,0,0
1470,1,0,0,0,0,0,1,0,1
147,1,0,0,1,0,1,1,0,1
1473,0,1,1,0,1,1,1,1,0
1475,0,0,1,1,1,1,1,1,0
1478,0,0,0,0,0,0,1,0,1
1479,1,0,0,1,0,0,0,0,1
148,1,0,1,1,0,1,1,0,1
1485,0,0,0,1,0,1,1,0,0
1489,0,1,1,1,1,1,1,0,0
1490,0,0,1,1,1,1,1,0,0
1494,1,0,0,0,0,0,1,0,1
1495,1,0,1,0,0,1,1,0,1
1497,0,0,0,0,0,0,0,0,1
1502,1,0,0,1,0,0,0,0,1
150,0,0,1,0,1,1,1,1,0
1503,1,0,0,1,0,0,0,0,1
1504,0,1,1,1,1,1,1,0,0
1505,0,0,0,0,0,0,0,0,1
1507,1,1,0,0,0,0,0,0,1
1512,0,0,0,1,0,0,0,0,1
1513,0,0,1,1,0,1,1,0,1
1515,1,0,0,0,0,0,1,0,1
1516,0,0,1,1,0,1,1,0,1
1517,0,0,0,1,0,0,1,0,1
1519,0,1,1,0,1,1,1,1,0
1521,1,0,0,0,0,0,0,0,1
1525,0,0,0,1,0,1,1,1,0
1527,1,0,1,1,1,1,1,0,1
1528,1,0,1,0,0,0,1,0,1
1530,1,0,0,1,0,1,0,0,1
1533,0,0,0,0,0,1,1,0,1
153,1,0,0,0,0,0,0,0,1
1535,1,0,1,0,0,1,1,0,1
1536,0,1,1,1,0,1,1,0,1
1537,1,0,1,1,0,0,1,0,1
1539,0,0,0,0,0,0,0,0,1
154,0,1,1,1,1,1,1,0,0
1544,1,0,0,1,0,1,0,0,1
1545,0,1,1,1,1,1,1,0,0
1546,0,0,0,0,0,1,1,0,1
1552,0,1,1,1,1,1,1,0,1
1554,1,1,0,1,1,1,1,0,0
1556,1,0,1,1,1,1,1,1,0
1558,0,0,0,0,0,0,0,0,1
1560,0,0,0,1,0,0,0,0,1
1563,0,1,1,0,1,1,1,1,0
1564,0,1,1,1,1,1,1,1,1
1565,0,1,1,0,1,1,1,1,0
1566,1,0,0,1,0,0,0,0,1
1567,0,1,1,1,1,1,1,1,0
1568,0,0,0,1,1,0,1,0,1
1570,1,0,1,1,0,1,1,0,0
1572,0,1,1,0,1,1,1,0,0
1574,1,0,0,0,0,1,0,0,1
157,0,0,0,1,0,0,0,0,1
1577,0,1,1,1,1,1,1,1,0
1579,0,1,1,1,1,1,1,1,0
1582,0,0,1,1,0,1,1,0,1
1583,1,1,1,0,0,1,1,1,0
158,1,1,0,0,0,0,1,0,1
1584,0,1,1,1,0,1,1,0,0
1586,0,1,1,1,1,1,1,0,0
1587,1,0,0,0,0,0,0,0,1
1588,0,0,0,0,0,0,1,0,1
1589,1,0,0,1,0,1,1,0,1
1590,1,0,0,0,0,0,0,0,1
1591,1,0,0,0,0,1,0,0,1
1592,0,1,1,0,1,0,1,1,0
1593,0,1,1,0,1,1,1,1,0
1594,0,0,1,0,1,1,1,1,0
1601,0,1,1,1,0,1,1,0,1
1602,0,1,1,0,0,1,1,0,1
1605,0,1,0,0,0,0,0,0,1
1606,0,1,1,1,0,1,1,0,1
1607,0,0,0,1,0,1,1,0,1
1609,0,0,0,1,0,0,0,0,1
1611,0,1,1,1,1,1,1,1,0
1613,0,1,0,0,0,0,0,0,1
161,0,1,1,0,0,1,1,0,1
1615,1,1,0,1,0,1,0,1,1
1617,1,0,0,1,0,0,0,0,1
1618,1,0,0,1,0,0,0,0,1
1620,1,1,1,1,0,0,0,0,1
162,0,1,1,1,1,1,1,0,0
1624,0,1,1,1,1,1,1,0,1
1626,1,0,0,1,0,1,0,0,1
1627,1,0,0,0,0,0,0,0,0
1630,0,1,1,1,1,1,1,1,0
1631,0,1,1,0,0,1,1,0,0
163,1,0,0,0,0,0,0,0,1
1633,1,0,0,1,0,0,0,0,1
1634,0,1,1,0,1,1,1,1,0
1637,1,0,0,0,0,0,0,0,1
1638,0,0,0,0,0,0,0,0,1
1639,1,0,0,0,0,0,0,0,1
1640,1,0,0,1,0,0,0,0,1
1641,1,1,1,0,0,0,1,0,1
164,0,0,0,0,0,0,1,0,1
1642,1,0,0,0,0,1,0,0,1
16,0,1,1,0,1,1,1,1,0
1644,1,0,0,1,0,1,1,0,1
1645,0,1,1,1,0,1,1,1,0
1646,0,1,1,0,1,1,1,1,0
1647,0,1,1,1,0,1,1,0,0
165,0,1,1,1,0,1,1,0,1
1651,0,0,0,1,0,0,0,0,1
1653,1,1,0,0,0,0,1,0,1
1654,0,1,1,0,0,1,1,0,0
1656,0,0,0,1,0,0,0,0,1
1658,1,1,0,1,0,0,0,0,1
1661,0,1,1,0,1,1,1,1,0
1664,1,1,0,0,0,0,0,0,1
1667,0,1,1,0,1,1,1,1,0
1668,0,1,0,0,0,1,1,0,0
1670,0,0,0,1,0,0,0,0,1
1672,1,0,0,0,0,1,0,0,1
1674,0,1,1,1,1,1,1,0,0
1677,0,0,0,0,0,0,1,0,1
1680,0,1,1,1,1,1,1,1,0
1688,0,1,0,1,0,0,1,0,1
1691,0,1,1,1,0,1,1,0,1
169,0,1,1,0,0,0,1,1,0
1696,0,1,1,0,1,1,1,1,0
1697,1,0,1,0,0,1,1,0,1
1698,0,1,1,1,1,1,1,1,0
1699,1,0,0,0,0,0,0,0,1
1705,0,0,1,0,0,1,1,0,0
1706,0,0,1,1,0,1,1,1,0
1709,0,1,1,0,0,1,1,1,1
1710,1,1,0,0,0,0,0,0,1
171,1,0,0,0,0,0,0,0,1
1712,0,0,0,0,0,1,1,0,1
1717,0,1,1,0,1,1,1,1,0
1719,0,0,0,0,0,0,1,0,1
1724,0,1,1,1,1,1,1,1,0
1725,0,1,1,1,1,1,1,1,0
172,0,0,0,0,0,0,1,0,1
1730,1,0,0,0,0,0,0,0,1
1733,1,0,0,0,0,0,0,0,0
1734,0,1,1,0,1,1,1,1,0
1735,0,0,0,1,0,0,0,0,1
1737,0,1,1,0,1,0,1,1,0
1738,0,1,1,1,1,1,1,1,0
1740,1,1,1,0,0,1,1,0,1
1743,1,1,0,0,0,0,0,0,1
1748,0,1,1,0,1,1,1,1,0
1749,0,1,1,0,0,1,1,0,1
1750,1,0,0,0,0,0,0,0,1
1751,0,1,1,0,1,1,1,1,0
1753,1,0,0,1,0,0,0,0,1
175,0,0,0,1,0,1,1,0,1
1754,1,0,0,1,0,0,0,0,1
1758,0,1,1,0,1,1,1,1,0
1759,0,0,1,0,0,1,1,1,1
1760,0,1,0,1,0,1,1,0,1
1762,0,1,1,0,1,1,1,0,0
1763,0,1,1,1,1,1,1,1,0
1765,0,1,1,0,0,1,1,0,0
1767,1,0,0,1,0,0,0,0,1
1768,1,0,0,1,0,0,0,0,1
177,0,0,0,1,0,0,0,0,1
1772,0,1,1,0,1,1,1,1,0
1773,0,1,1,1,1,1,1,1,0
1776,1,1,1,0,0,1,1,0,1
1777,1,0,0,0,0,0,0,0,1
1779,1,0,0,1,0,0,0,0,0
1780,0,1,0,1,0,0,1,0,1
1783,0,1,1,1,0,1,1,1,0
1786,1,0,0,1,0,1,0,0,1
1788,1,0,0,0,0,1,0,0,1
1791,0,1,1,0,1,1,1,1,0
1793,0,1,1,0,1,1,1,1,0
1794,1,0,0,0,0,0,0,0,1
1795,0,1,1,0,1,1,1,0,0
179,1,0,0,0,0,0,0,0,1
1796,0,1,0,0,0,1,1,0,1
1799,1,0,1,0,0,0,1,0,1
1800,0,1,1,1,1,1,1,0,0
180,0,1,1,1,0,1,1,1,1
1801,0,1,1,0,0,1,1,0,1
1806,0,0,0,0,0,0,1,0,1
1810,0,1,1,1,1,1,1,1,0
1811,0,1,1,1,1,1,1,0,1
1812,0,0,0,1,0,1,1,0,0
1814,0,1,1,0,1,1,1,1,1
1820,0,0,0,0,0,0,1,0,1
18,0,1,1,1,1,1,1,1,0
1822,0,0,0,0,0,0,1,0,1
1823,0,1,1,1,1,1,1,1,0
1824,0,1,1,1,0,0,1,1,0
1830,0,1,1,1,1,1,1,0,1
1831,1,0,0,1,0,0,0,0,1
183,0,1,1,1,1,1,1,0,0
1835,0,1,1,0,1,1,1,1,0
1836,0,0,0,0,0,1,1,0,1
1837,0,1,0,0,0,1,1,0,0
1839,0,0,1,0,0,1,1,0,0
1840,0,1,1,1,0,1,1,1,0
184,0,1,0,0,0,1,1,1,0
1842,0,1,1,0,1,1,1,0,1
1843,0,1,1,1,1,1,1,0,0
1845,1,1,1,0,0,1,1,0,1
1850,1,0,0,0,0,0,0,0,1
1851,1,1,1,0,0,1,1,0,1
1853,1,0,0,0,0,0,0,0,1
1854,0,0,0,1,0,1,1,0,0
1856,0,1,1,1,1,1,1,1,1
1862,1,1,1,0,0,1,1,1,1
186,0,1,1,1,1,1,1,1,0
1864,0,1,0,0,0,0,0,0,1
1865,0,1,1,0,0,0,1,0,0
1866,0,0,0,0,0,0,1,0,1
1869,0,1,1,0,0,1,1,0,1
187,1,0,0,0,0,0,0,0,1
1873,0,0,0,0,0,0,1,0,1
1875,0,1,1,0,0,1,1,1,1
1877,1,1,0,1,0,1,1,0,1
1880,1,1,1,1,0,1,1,1,1
1882,1,0,0,0,0,0,0,0,1
1883,0,0,0,0,0,0,0,0,1
188,0,0,0,1,0,1,1,0,1
1885,0,1,1,1,0,1,1,1,0
1889,1,0,1,1,1,1,1,1,1
1890,0,1,1,0,1,1,1,0,0
189,0,1,1,0,1,1,1,1,0
1894,0,0,0,0,0,0,1,0,1
1897,0,1,1,1,0,1,1,1,1
1898,1,0,0,0,0,0,0,0,1
1902,0,0,0,0,0,0,0,0,1
1903,1,1,0,0,0,0,0,0,1
1904,0,0,0,0,0,0,0,0,1
190,0,0,0,0,0,0,0,0,1
1905,0,1,1,1,1,1,1,1,0
1907,0,0,0,0,0,0,0,0,1
1908,1,0,1,0,0,1,1,0,1
1909,0,0,0,1,0,0,0,0,1
1910,0,1,0,1,0,1,1,0,0
1912,0,1,1,0,1,1,1,1,0
1913,0,0,0,0,0,1,1,0,0
1915,0,0,1,1,0,1,1,1,1
1919,1,0,0,1,0,1,1,0,1
1922,0,1,1,0,1,1,1,1,0
192,0,1,1,1,0,1,1,1,1
1924,0,0,1,1,0,0,0,0,1
1925,0,0,1,0,1,1,1,0,0
1929,1,0,0,1,0,1,0,0,1
1930,1,1,1,1,0,1,1,1,0
1931,0,0,1,0,0,0,1,0,0
1932,0,0,0,0,0,0,1,0,1
1937,0,1,1,1,1,1,1,1,0
1938,1,0,0,0,0,0,0,0,1
1940,0,1,1,0,0,0,1,0,1
1941,1,1,0,1,0,1,0,0,1
1944,0,0,0,1,0,0,0,0,1
1946,0,1,1,0,1,1,1,1,0
1947,1,0,0,1,0,1,0,0,1
1948,1,0,0,1,0,0,0,0,1
19,0,1,1,1,0,1,1,0,1
1952,0,1,1,1,0,1,1,1,0
1954,1,1,1,1,1,1,1,1,1
1955,1,0,0,1,0,0,0,0,1
195,1,0,0,0,0,0,0,0,1
1958,0,1,1,1,0,1,1,0,1
1959,0,1,1,0,0,1,1,0,1
1962,0,0,0,1,0,1,1,0,1
1966,0,1,1,0,1,1,1,0,0
1968,0,1,1,1,1,1,1,1,0
1969,0,1,1,0,1,1,1,1,0
1970,1,0,0,0,0,0,0,0,1
1973,1,1,1,1,1,1,1,0,0
1974,0,1,1,0,1,1,1,1,0
1975,1,0,0,1,0,0,0,0,1
1978,0,1,1,1,1,1,1,1,0
1979,0,0,0,1,0,0,0,0,1
1980,0,1,1,1,0,1,1,0,0
1985,1,0,0,1,0,1,0,0,1
198,0,0,0,1,0,0,0,0,1
1990,1,1,0,1,0,0,0,0,0
1991,1,0,0,1,0,1,1,0,1
199,1,1,1,1,0,1,1,1,0
1993,0,0,0,1,0,0,0,0,1
1994,0,1,1,1,1,1,1,1,0
1996,0,1,1,1,0,1,1,1,1
1997,1,0,0,1,1,1,0,0,0
2000,0,0,0,1,0,0,0,0,1
2006,0,1,1,1,1,1,1,1,0
2007,0,1,1,1,0,1,1,1,0
2009,0,1,1,1,0,1,1,1,0
2011,0,1,1,1,1,1,1,1,0
2014,0,1,1,0,1,1,1,0,0
2015,0,0,0,0,0,0,0,0,1
2017,1,0,0,1,0,1,0,0,1
2018,1,0,1,0,0,0,1,0,1
2020,1,0,0,1,0,0,0,0,1
2021,0,0,1,0,0,1,1,0,1
202,0,1,1,0,1,1,1,1,0
2023,0,0,0,0,0,1,0,0,1
2024,0,1,1,0,0,1,1,1,1
2025,0,0,0,1,0,0,0,0,1
2031,0,0,0,1,0,1,1,0,0
2032,0,0,1,0,0,0,1,0,1
2033,0,1,1,1,1,1,1,0,1
2035,0,1,1,1,1,1,1,0,0
2036,0,0,0,0,0,0,1,0,1
2037,0,0,0,0,0,1,1,0,1
2038,0,1,1,1,1,1,1,1,1
2043,0,1,1,0,0,1,1,1,0
204,1,0,0,1,0,0,0,0,1
2046,0,0,0,0,0,0,1,0,1
2047,0,1,1,0,0,0,1,1,1
2048,0,0,0,1,0,0,0,0,1
2049,0,0,0,1,0,1,0,0,1
2050,1,0,0,1,0,1,0,0,1
2052,0,0,0,1,0,0,0,0,1
2056,0,0,0,1,0,0,1,0,1
2058,1,0,0,1,0,0,0,0,1
2060,0,0,0,0,0,0,1,0,1
2061,0,0,0,0,0,0,1,0,1
206,0,0,0,1,0,1,0,0,1
2062,1,0,0,1,0,1,1,0,1
2063,1,0,0,1,0,1,0,0,1
2065,0,1,1,0,1,1,1,1,0
2066,1,0,0,0,0,0,0,0,1
2069,0,1,1,1,1,1,1,0,0
2070,0,1,1,0,1,1,1,1,1
2071,0,1,1,0,0,1,1,0,1
2072,1,0,1,1,0,1,1,1,1
2078,0,1,1,0,1,1,1,1,0
2086,0,1,1,0,1,1,1,0,0
2088,0,0,0,1,0,0,1,0,1
2090,0,1,1,1,1,1,1,1,0
2092,0,1,1,0,1,1,1,1,0
2094,1,0,1,0,0,0,1,0,1
2095,0,1,1,1,1,1,1,0,0
2101,0,0,1,0,0,1,0,0,1
2104,0,1,0,0,0,1,0,0,0
2106,1,1,0,0,0,0,0,0,1
2107,0,1,1,0,1,1,1,0,0
2108,0,0,0,0,0,0,1,0,1
2109,1,0,0,0,0,0,0,0,1
2111,1,0,1,1,0,1,1,0,0
2116,1,0,0,1,0,0,0,0,1
2117,0,1,1,1,0,1,1,1,0
2118,0,0,0,0,0,0,1,0,1
2119,1,0,0,1,0,0,0,0,1
2120,0,0,0,1,0,0,0,0,1
2121,0,0,1,0,1,1,1,0,0
2122,0,1,1,1,1,1,1,0,0
2124,0,1,0,0,0,1,1,0,0
2125,1,1,0,0,0,1,1,0,1
2126,0,1,1,0,1,1,1,0,0
2127,0,0,0,0,0,0,0,0,1
2130,0,0,0,1,0,0,0,1,1
213,1,1,0,1,0,0,0,0,1
2133,0,1,1,0,0,1,1,0,1
2134,1,0,0,1,0,1,0,0,0
2136,0,1,1,1,1,1,1,1,1
2137,1,0,0,0,0,0,0,0,1
2139,1,0,0,0,0,0,0,0,1
2140,0,1,1,0,1,1,1,1,0
2141,0,0,0,0,0,1,1,0,1
2142,1,1,0,0,0,0,0,0,1
2146,0,1,1,0,0,1,1,1,0
2147,0,0,0,0,0,1,1,0,0
2155,0,0,0,0,0,1,1,0,1
2157,0,1,1,1,0,1,1,0,1
2159,0,0,0,1,0,0,1,0,1
